state,abbr,mhi_09,mhi_10,mhi_11,mhi_12,mhi_13,mhi_14,mhi_15,mhi_16
Alabama,AL,41216,42081,42934,43160,43253,43511,43623,44758
Alaska,AK,64635,66521,69014,69917,70760,71829,72515,74444
Arizona,AZ,50296,50448,50752,50256,49774,49928,50255,51340
Arkansas,AR,38542,39267,40149,40531,40768,41264,41371,42336
California,CA,60392,60883,61632,61400,61094,61489,61818,63783
Colorado,CO,56222,56456,57685,58244,58433,59448,60629,62520
Connecticut,CT,67721,67740,69243,69519,69461,69899,70331,71755
Delaware,DE,57618,57599,59317,60119,59878,60231,60509,61017
District of Columbia,DC,56519,58526,61835,64267,65830,69235,70848,72935
Florida,FL,47450,47661,47827,47309,46956,47212,47507,48900
Georgia,GA,49466,49347,49736,49604,49179,49342,49620,51037
Hawaii,HI,64661,66420,67116,67492,67402,68201,69515,71977
Idaho,ID,46183,46423,46890,47015,46767,47334,47583,49174
Illinois,IL,55222,55735,56576,56853,56797,57166,57574,59196
Indiana,IN,47465,47697,48393,48374,48248,48737,49255,50433
Iowa,IA,48052,48872,50451,51129,51843,52716,53183,54570
Kansas,KS,48394,49424,50594,51273,51332,51872,52205,53571
Kentucky,KY,41197,41576,42248,42610,43036,43342,43740,44811
Louisiana,LA,42167,43445,44086,44673,44874,44991,45047,45652
Maine,ME,46541,46933,47898,48219,48453,48804,49331,50826
Maryland,MD,69475,70647,72419,72999,73538,74149,74551,76067
Massachusetts,MA,64496,64509,65981,66658,66866,67846,68563,70954
Michigan,MI,48700,48432,48669,48471,48411,49087,49576,50803
Minnesota,MN,57007,57243,58476,59126,59836,60828,61492,63217
Mississippi,MS,36796,37881,38718,38882,39031,39464,39665,40528
Missouri,MO,46005,46262,47202,47333,47380,47764,48173,49593
Montana,MT,43089,43872,45324,45456,46230,46766,47169,48380
Nebraska,NE,47995,49342,50695,51381,51672,52400,52997,54384
Nevada,NV,55585,55726,55553,54083,52800,52205,51847,53094
New Hampshire,NH,63033,63277,64664,64925,64916,65986,66779,68485
New Jersey,NJ,68981,69811,71180,71637,71629,72062,72093,73702
New Mexico,NM,42742,43820,44631,44886,44927,44968,44963,45674
New York,NY,55233,55603,56951,57683,58003,58687,59269,60741
North Carolina,NC,45069,45570,46291,46450,46334,46693,46868,48256
North Dakota,ND,45140,46781,49415,51641,53741,55579,57181,59114
Ohio,OH,47144,47358,48071,48246,48308,48849,49429,50674
Oklahoma,OK,41861,42979,44287,44891,45339,46235,46879,48038
Oregon,OR,49033,49260,49850,50036,50229,50521,51243,53270
Pennsylvania,PA,49737,50398,51651,52267,52548,53115,53599,54895
Rhode Island,RI,55569,54902,55975,56102,56361,56423,56852,58387
South Carolina,SC,43572,43939,44587,44623,44779,45033,45483,46898
South Dakota,SD,44828,46369,48010,49091,49495,50338,50957,52078
Tennessee,TN,42943,43314,43989,44140,44298,44621,45219,46574
Texas,TX,48199,49646,50920,51563,51900,52576,53207,54727
Utah,UT,55642,56330,57783,58164,58821,59846,60727,62518
Vermont,VT,51284,51841,53422,54168,54267,54447,55176,56104
Virginia,VA,60316,61406,63302,63636,63907,64792,65015,66149
Washington,WA,56384,57244,58890,59374,59478,60294,61062,62848
West Virginia,WV,37356,38380,39550,40400,41043,41576,41751,42644
Wisconsin,WI,51569,51598,52374,52627,52413,52738,53357,54610
Wyoming,WY,51990,53802,56380,56573,57406,58252,58840,59143
Puerto Rico,PR,18627,18791,19122,19515,19624,19686,19350,19606