state,abbr,hw_09,hw_10,hw_11,hw_12,hw_13,hw_14,hw_15,hw_16,lat,long,mhp_09,mhp_10,mhp_11,mhp_12,mhp_13,mhp_14,mhp_15,mhp_16,mhi_09,mhi_10,mhi_11,mhi_12,mhi_13,mhi_14,mhi_15,mhi_16,vc_09,vc_10,vc_11,vc_12,vc_13,vc_14,vc_15,vc_16
Alabama,AL,12,17,27,30,28,27,26,23,32.806671,-86.79113,111900,117600,120800,122300,122500,123800,125500,128500,41216,42081,42934,43160,43253,43511,43623,44758,449.8,377,420.1,449.9,0,427.4,472.4,532.3
Alaska,AK,13,14,12,12,12,14,15,14,61.370716,-152.404419,221300,229100,235100,237900,241800,246300,250000,257100,64635,66521,69014,69917,70760,71829,72515,74444,633,638.8,606.5,603.2,0,635.8,730.2,804.2
Arizona,AZ,0,0,0,0,0,0,0,0,33.729759,-111.431221,218400,215000,197400,175900,165100,162900,167500,176900,50296,50448,50752,50256,49774,49928,50255,51340,408.3,408.1,405.9,428.9,0,399.9,410.2,470.1
Arkansas,AR,2078,2944,3760,4446,4913,5394,5639,5585,34.969704,-92.373123,97200,102300,105100,106300,107300,108700,111400,114700,38542,39267,40149,40531,40768,41264,41371,42336,517.7,505.3,480.9,469.1,0,480.1,521.3,550.9
California,CA,558,575,679,1009,1261,1558,1717,1697,36.116203,-119.681564,479200,458500,421600,383900,366400,371400,385500,409300,60392,60883,61632,61400,61094,61489,61818,63783,472,440.6,411.1,423.1,0,396.1,426.3,445.3
Colorado,CO,115,180,426,963,1831,3091,4228,5064,39.059811,-105.311104,234100,236600,236700,236800,236200,239400,247800,264600,56222,56456,57685,58244,58433,59448,60629,62520,337.8,320.8,320.2,308.9,0,309.1,321,342.6
Connecticut,CT,0,0,0,0,0,0,0,0,41.597782,-72.755371,295800,296500,293100,285900,278900,274500,270500,269300,67721,67740,69243,69519,69461,69899,70331,71755,298.7,281.4,272.8,283,0,236.9,218.5,227.1
Delaware,DE,0,0,0,0,0,0,0,0,39.318523,-75.507141,235000,242300,244100,241100,235800,232900,231500,233100,57618,57599,59317,60119,59878,60231,60509,61017,636.6,620.9,559.5,547.4,0,489.1,499,508.8
District of Columbia,DC,0,0,0,0,0,0,0,0,38.897438,-77.026817,440500,443300,442600,443000,445200,454500,475800,506100,56519,58526,61835,64267,65830,69235,70848,72935,1345.9,1330.2,1202.1,1243.7,0,1244.4,1269.1,1205.9
Florida,FL,0,1,1,1,0,0,1,0,27.766279,-81.686783,211300,205600,188600,170800,160200,156200,159000,166800,47450,47661,47827,47309,46956,47212,47507,48900,612.5,542.4,515.3,487.1,0,540.5,461.9,430.3
Georgia,GA,0,0,0,0,0,0,0,0,33.040619,-83.643074,160100,161400,160200,156400,151300,148000,148100,152400,49466,49347,49736,49604,49179,49342,49620,51037,426.1,403.3,373.2,378.9,0,377.3,378.3,397.6
Hawaii,HI,0,0,0,0,0,0,0,0,21.094318,-157.498337,521500,537400,529500,517000,503100,504500,515300,538400,64661,66420,67116,67492,67402,68201,69515,71977,274.8,262.7,287.2,239.2,0,259.2,293.4,309.2
Idaho,ID,0,0,0,0,0,0,0,0,44.240459,-114.478828,166700,172700,171300,167100,162100,160500,162900,167900,46183,46423,46890,47015,46767,47334,47583,49174,228.4,221,200.9,207.9,0,212.2,215.6,230.3
Illinois,IL,0,0,0,0,0,0,0,0,40.349457,-88.986137,200400,202500,198500,190800,182300,175700,173800,174800,55222,55735,56576,56853,56797,57166,57574,59196,497.2,435.2,429.3,414.8,0,370,383.8,436.3
Indiana,IN,0,0,0,0,0,0,0,0,39.849426,-86.258278,120200,123000,123300,123400,122800,122700,124200,126500,47465,47697,48393,48374,48248,48737,49255,50433,333.2,314.5,331.8,345.7,0,365.3,387.5,404.7
Iowa,IA,0,0,0,0,0,0,0,0,42.011539,-93.210526,115800,119200,121300,123000,124300,126300,129200,132800,48052,48872,50451,51129,51843,52716,53183,54570,279.2,273.5,255.6,263.9,0,273.5,286.1,290.6
Kansas,KS,1,2,3,2,2,2,2,2,38.5266,-96.726486,118500,122600,125500,127400,128400,129400,132000,135300,48394,49424,50594,51273,51332,51872,52205,53571,400.1,369.1,353.9,354.6,0,348.6,389.9,380.4
Kentucky,KY,537,753,877,839,970,970,970,970,37.66814,-84.670067,113100,116800,118700,120000,120400,121600,123200,126100,41197,41576,42248,42610,43036,43342,43740,44811,258.7,242.6,238.2,222.6,0,211.6,218.7,232.3
Louisiana,LA,551,1253,2109,2506,2679,2882,3052,3165,31.169546,-91.867805,121300,130000,135400,137700,138900,140400,144100,148300,42167,43445,44086,44673,44874,44991,45047,45652,620,549,553.3,496.9,0,514.7,539.7,566.1
Maine,ME,0,0,0,0,0,0,0,0,44.693947,-69.381927,172100,176200,176600,175600,174500,173600,173800,176000,46541,46933,47898,48219,48453,48804,49331,50826,119,122,123.2,122.7,0,127.8,130.1,123.8
Maryland,MD,0,0,0,0,0,0,0,0,39.063946,-76.802101,326400,329400,319800,304900,292700,287500,286900,290400,69475,70647,72419,72999,73538,74149,74551,76067,589.9,547.7,494.1,476.8,0,446.1,457.2,472
Massachusetts,MA,0,0,0,0,0,0,0,0,42.230171,-71.530106,357600,352300,343500,335500,330100,329900,333100,341000,64496,64509,65981,66658,66866,67846,68563,70954,457.7,466.6,428.4,405.5,0,391.4,390.9,376.9
Michigan,MI,97,104,112,128,142,158,151,128,43.326618,-84.536095,147500,144200,137300,128600,121700,120200,122400,127800,48700,48432,48669,48471,48411,49087,49576,50803,497,490.3,445.3,454.5,0,427.3,415.5,459
Minnesota,MN,0,0,0,0,0,0,0,0,45.694454,-93.900192,207000,206200,201400,194300,187900,185200,186200,191500,57007,57243,58476,59126,59836,60828,61492,63217,243.9,236,221.2,230.9,0,229.1,242.6,242.6
Mississippi,MS,144,175,181,177,202,252,276,272,32.741646,-89.678696,91400,96500,99200,100200,99900,100800,103100,105700,36796,37881,38718,38882,39031,39464,39665,40528,281.3,269.7,269.8,260.8,0,278.5,275.8,280.5
Missouri,MO,0,0,0,0,0,0,0,0,38.456085,-92.288368,134500,137700,138900,138400,137000,136700,138400,141200,46005,46262,47202,47333,47380,47764,48173,49593,491.8,455,447.4,450.9,0,442.9,497.4,519.4
Montana,MT,1227,1291,1374,1546,1670,1751,1746,1673,46.921925,-110.454353,162100,173300,179900,183000,184200,187600,193500,199700,43089,43872,45324,45456,46230,46766,47169,48380,253.6,272.2,267.5,272.2,0,323.7,349.6,368.3
Nebraska,NE,0,0,0,0,1,0,0,1,41.12537,-98.268082,119700,123900,125400,126700,128000,130100,133200,137300,47995,49342,50695,51381,51672,52400,52997,54384,281.6,279.5,253.2,259.4,0,280.4,274.9,291
Nevada,NV,0,0,0,0,0,0,0,0,38.313515,-117.055374,275300,254200,225400,190900,169100,167100,173700,191600,55585,55726,55553,54083,52800,52205,51847,53094,702.2,660.6,562.1,607.6,0,635.6,695.9,678.1
New Hampshire,NH,0,0,0,0,0,0,0,0,43.452492,-71.563896,253000,253200,250000,245600,239900,237400,237300,239700,63033,63277,64664,64925,64916,65986,66779,68485,159.6,167,188,187.9,0,196.1,199.3,197.6
New Jersey,NJ,0,0,0,0,0,0,0,0,40.298904,-74.521011,356800,357000,349100,337900,327100,319900,315900,316400,68981,69811,71180,71637,71629,72062,72093,73702,311.5,307.7,308.4,290.2,0,261.2,255.4,245
New Mexico,NM,1412,1744,2200,2814,3481,4252,4960,5329,34.840515,-106.248482,150500,158400,161800,161500,160000,159300,160300,161600,42742,43820,44631,44886,44927,44968,44963,45674,619,588.9,567.5,559.1,0,597.4,656.1,702.5
New York,NY,49,56,62,61,64,63,63,60,42.165726,-74.948051,300600,303900,301000,295300,288200,283700,283400,286300,55233,55603,56951,57683,58003,58687,59269,60741,384.7,392.1,398.1,406.8,0,381.8,379.7,376.2
North Carolina,NC,0,0,0,0,0,0,0,0,35.630066,-79.806419,143700,149100,152700,153600,153600,153600,154900,157100,45069,45570,46291,46450,46334,46693,46868,48256,404.3,363.4,349.8,353.4,0,329.5,347,372.2
North Dakota,ND,2350,3136,4395,6224,8232,10483,11923,12490,47.528912,-99.784012,104300,111300,118200,123900,132400,142000,153800,164000,45140,46781,49415,51641,53741,55579,57181,59114,200.7,225,247,244.7,0,265.1,239.4,251.1
Ohio,OH,22,31,45,124,398,831,1274,1538,40.388783,-82.764915,134500,136400,135600,133700,130800,129600,129900,131900,47144,47358,48071,48246,48308,48849,49429,50674,332.1,315.2,307.4,299.7,0,284.9,291.9,300.3
Oklahoma,OK,3716,4363,5540,7294,9228,11272,12529,12979,35.565342,-96.928917,98800,104300,108400,110800,112800,115000,117900,121300,41861,42979,44287,44891,45339,46235,46879,48038,501.1,479.5,454.8,469.3,0,406,422,449.8
Oregon,OR,0,0,0,0,0,0,0,0,44.572021,-122.070938,244200,252600,252600,246100,238000,234100,237300,247200,49033,49260,49850,50036,50229,50521,51243,53270,254.7,252,247.6,247.6,0,232.3,259.8,264.6
Pennsylvania,PA,232,792,1806,3139,4483,5664,6647,7276,40.590752,-77.209755,152300,159300,163200,164900,164700,164900,166000,167700,49737,50398,51651,52267,52548,53115,53599,54895,380.5,366.2,355,348.7,0,314.1,315,316.4
Rhode Island,RI,0,0,0,0,0,0,0,0,41.680893,-71.51178,283700,279300,270600,259400,247400,241200,238000,238200,55569,54902,55975,56102,56361,56423,56852,58387,252.6,256.6,247.5,252.4,0,219.2,242.5,238.9
South Carolina,SC,0,0,0,0,0,0,0,0,33.856892,-80.945007,128400,134100,137000,137400,137400,137600,139900,143600,43572,43939,44587,44623,44779,45033,45483,46898,670.8,597.7,571.9,558.8,0,497.7,504.5,501.8
South Dakota,SD,102,105,110,118,133,139,136,132,44.299782,-99.438828,115400,122200,127000,129800,132400,135700,140500,146700,44828,46369,48010,49091,49495,50338,50957,52078,185.6,268.5,254.1,321.8,0,326.5,383.1,418.4
Tennessee,TN,26,33,33,32,32,32,32,32,35.747845,-86.692345,128500,134100,137200,138700,139200,139900,142100,146000,42943,43314,43989,44140,44298,44621,45219,46574,667.7,613.3,608.2,643.6,0,608.4,612.1,632.9
Texas,TX,18625,21698,26294,31972,38612,46368,51504,54096,31.054487,-97.563461,118900,123500,126400,128000,128900,131400,136000,142700,48199,49646,50920,51563,51900,52576,53207,54727,490.9,450.3,408.5,408.6,0,405.9,412.2,434.4
Utah,UT,31,32,38,63,106,130,144,154,40.150032,-111.862434,208100,218100,221300,217800,212800,212500,215900,224600,55642,56330,57783,58164,58821,59846,60727,62518,212.7,212.7,195,205.8,0,215.6,236,242.8
Vermont,VT,0,0,0,0,0,0,0,0,44.045876,-72.710686,200600,208400,213000,215800,216800,216200,217500,218900,51284,51841,53422,54168,54267,54447,55176,56104,131.4,130.2,135.2,142.6,0,99.3,118,158.3
Virginia,VA,45,68,88,97,108,113,114,115,37.769337,-78.169968,247100,255100,254600,249700,244600,243500,245000,248400,60316,61406,63302,63636,63907,64792,65015,66149,226.8,213.6,196.7,190.1,0,196.2,195.6,217.6
Washington,WA,0,0,0,0,0,0,0,0,47.400902,-121.490494,277600,285400,283200,272900,262100,257200,259500,269300,56384,57244,58890,59374,59478,60294,61062,62848,331,313.8,294.6,295.6,0,285.2,284.4,302.2
West Virginia,WV,466,654,899,1188,1570,2013,2306,2522,38.491226,-80.954453,91400,94500,96500,97300,98500,100200,103800,107400,37356,38380,39550,40400,41043,41576,41751,42644,296.5,314.6,315.9,316.3,0,302,337.9,358.1
Wisconsin,WI,0,0,0,0,0,0,0,0,44.268543,-89.616508,166100,169000,169700,169000,167100,165900,165800,167000,51569,51598,52374,52627,52413,52738,53357,54610,257,248.7,236.9,280.5,0,290.3,305.8,305.9
Wyoming,WY,488,510,630,797,1005,1375,1629,1684,42.755966,-107.30249,163400,174000,181900,184400,185900,189300,194800,199900,51990,53802,56380,56573,57406,58252,58840,59143,228.2,195.9,219.3,201.4,0,195.5,221.1,244.2