state,abbr,vc_09,vc_10,vc_11,vc_12,vc_13,vc_14,vc_15,vc_16
Alabama,AL,449.8,377,420.1,449.9,0,427.4,472.4,532.3
Alaska,AK,633,638.8,606.5,603.2,0,635.8,730.2,804.2
Arizona,AZ,408.3,408.1,405.9,428.9,0,399.9,410.2,470.1
Arkansas,AR,517.7,505.3,480.9,469.1,0,480.1,521.3,550.9
California,CA,472,440.6,411.1,423.1,0,396.1,426.3,445.3
Colorado,CO,337.8,320.8,320.2,308.9,0,309.1,321,342.6
Connecticut,CT,298.7,281.4,272.8,283,0,236.9,218.5,227.1
Delaware,DE,636.6,620.9,559.5,547.4,0,489.1,499,508.8
District of Columbia,DC,1345.9,1330.2,1202.1,1243.7,0,1244.4,1269.1,1205.9
Florida,FL,612.5,542.4,515.3,487.1,0,540.5,461.9,430.3
Georgia,GA,426.1,403.3,373.2,378.9,0,377.3,378.3,397.6
Hawaii,HI,274.8,262.7,287.2,239.2,0,259.2,293.4,309.2
Idaho,ID,228.4,221,200.9,207.9,0,212.2,215.6,230.3
Illinois,IL,497.2,435.2,429.3,414.8,0,370,383.8,436.3
Indiana,IN,333.2,314.5,331.8,345.7,0,365.3,387.5,404.7
Iowa,IA,279.2,273.5,255.6,263.9,0,273.5,286.1,290.6
Kansas,KS,400.1,369.1,353.9,354.6,0,348.6,389.9,380.4
Kentucky,KY,258.7,242.6,238.2,222.6,0,211.6,218.7,232.3
Louisiana,LA,620,549,553.3,496.9,0,514.7,539.7,566.1
Maine,ME,119,122,123.2,122.7,0,127.8,130.1,123.8
Maryland,MD,589.9,547.7,494.1,476.8,0,446.1,457.2,472
Massachusetts,MA,457.7,466.6,428.4,405.5,0,391.4,390.9,376.9
Michigan,MI,497,490.3,445.3,454.5,0,427.3,415.5,459
Minnesota,MN,243.9,236,221.2,230.9,0,229.1,242.6,242.6
Mississippi,MS,281.3,269.7,269.8,260.8,0,278.5,275.8,280.5
Missouri,MO,491.8,455,447.4,450.9,0,442.9,497.4,519.4
Montana,MT,253.6,272.2,267.5,272.2,0,323.7,349.6,368.3
Nebraska,NE,281.6,279.5,253.2,259.4,0,280.4,274.9,291
Nevada,NV,702.2,660.6,562.1,607.6,0,635.6,695.9,678.1
New Hampshire,NH,159.6,167,188,187.9,0,196.1,199.3,197.6
New Jersey,NJ,311.5,307.7,308.4,290.2,0,261.2,255.4,245
New Mexico,NM,619,588.9,567.5,559.1,0,597.4,656.1,702.5
New York,NY,384.7,392.1,398.1,406.8,0,381.8,379.7,376.2
North Carolina,NC,404.3,363.4,349.8,353.4,0,329.5,347,372.2
North Dakota,ND,200.7,225,247,244.7,0,265.1,239.4,251.1
Ohio,OH,332.1,315.2,307.4,299.7,0,284.9,291.9,300.3
Oklahoma,OK,501.1,479.5,454.8,469.3,0,406,422,449.8
Oregon,OR,254.7,252,247.6,247.6,0,232.3,259.8,264.6
Pennsylvania,PA,380.5,366.2,355,348.7,0,314.1,315,316.4
Rhode Island,RI,252.6,256.6,247.5,252.4,0,219.2,242.5,238.9
South Carolina,SC,670.8,597.7,571.9,558.8,0,497.7,504.5,501.8
South Dakota,SD,185.6,268.5,254.1,321.8,0,326.5,383.1,418.4
Tennessee,TN,667.7,613.3,608.2,643.6,0,608.4,612.1,632.9
Texas,TX,490.9,450.3,408.5,408.6,0,405.9,412.2,434.4
Utah,UT,212.7,212.7,195,205.8,0,215.6,236,242.8
Vermont,VT,131.4,130.2,135.2,142.6,0,99.3,118,158.3
Virginia,VA,226.8,213.6,196.7,190.1,0,196.2,195.6,217.6
Washington,WA,331,313.8,294.6,295.6,0,285.2,284.4,302.2
West Virginia,WV,296.5,314.6,315.9,316.3,0,302,337.9,358.1
Wisconsin,WI,257,248.7,236.9,280.5,0,290.3,305.8,305.9
Wyoming,WY,228.2,195.9,219.3,201.4,0,195.5,221.1,244.2
Puerto Rico,PR,264.5,0,284.4,273.8,0,236.2,315.1,224